Model,Added block,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
M4,조직 규모,C(gender)[T.2],0.044577913563836634,0.04897310076621138,1.0455864389026637,0.9498914157324657,1.1509220771030366,0.36268908099180486,0.363,
M4,조직 규모,C(gender)[T.3],0.7600848681929392,0.5559490882674043,2.1384576998364597,0.7192434940545762,6.35807118422519,0.17156754337658253,0.172,
M4,조직 규모,C(occupation_code)[T.11],0.16468001744587726,0.16762365823583716,1.1790157938608548,0.8488639815848505,1.637574773261118,0.32588362591851705,0.326,
M4,조직 규모,C(occupation_code)[T.12],0.06633647830589916,0.1180820601131913,1.068586212759944,0.8478088284648948,1.346856102180731,0.5742639664479172,0.574,
M4,조직 규모,C(occupation_code)[T.13],-0.17650786902422758,0.10765002600991382,0.8381921833746349,0.6787529626114337,1.0350837122939176,0.10107891940074792,0.101,
M4,조직 규모,C(occupation_code)[T.14],-0.34513230345111306,0.1553941130158785,0.7081266596690308,0.5222028482668973,0.9602463253469888,0.026350099069040588,0.026,*
M4,조직 규모,C(occupation_code)[T.15],-0.23052247608302032,0.1383401802311739,0.7941185861263765,0.6055220824052225,1.0414555425070924,0.09564470649450882,0.096,
M4,조직 규모,C(occupation_code)[T.16],-0.5280925300554131,0.22497306563731034,0.5897287874508178,0.3794503061920298,0.9165364662328392,0.018907032344455423,0.019,*
M4,조직 규모,C(occupation_code)[T.17],-0.6233608815863558,0.13967623791714837,0.5361395048215126,0.40774174725654516,0.7049696788820601,8.085833659446993e-06,< .001,***
M4,조직 규모,C(occupation_code)[T.18],-1.2876384165638048,0.20026565413684974,0.2759216262192592,0.18634567058903237,0.40855654748955295,1.2789660844373623e-10,< .001,***
M4,조직 규모,C(workplace_size)[T.2],-0.4346421315672451,0.2205562913668297,0.6474963441224972,0.42024201006587797,0.9976430380824532,0.04876243079997689,0.049,*
M4,조직 규모,C(workplace_size)[T.3],-0.1794530093199531,0.22423838345743713,0.8357272214109454,0.5385084101097141,1.2969899364523596,0.42354983883840625,0.424,
M4,조직 규모,C(workplace_size)[T.4],-0.017748293187686864,0.22386076258343798,0.9824082800965984,0.6334923687896958,1.5235006392362005,0.9368077397133747,0.937,
M4,조직 규모,C(workplace_size)[T.5],-0.09007712723373887,0.20876733177691692,0.9138606990053209,0.6069835561421135,1.3758879770887258,0.6661256635112109,0.666,
M4,조직 규모,public_sector,-0.23452308745091302,0.08148967059232533,0.7909479727080825,0.6741922934379738,0.9279232373613318,0.004002702883817227,0.004,**
M4,조직 규모,age,-0.00633615842359912,0.0022074861983243594,0.9936838726990673,0.9893938937584973,0.9979924528453116,0.004100761872026761,0.004,**
M4,조직 규모,education_age,0.0014388048285265225,0.006413542720197485,1.0014398404047984,0.9889302180711366,1.0141077050978007,0.8224938875154698,0.822,
M5,직무 디지털 역량,Intercept,-1.296193737253624,0.2285499792685952,0.27357109732288454,0.17479464254482718,0.4281661279821759,1.416519657455072e-08,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.BE],-0.6267362649668821,0.024150010782328063,0.534332879189633,0.5096304537893858,0.5602326620400043,1.7351679337499105e-148,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.BG],-0.417686875012011,0.02261683343095408,0.6585684103683698,0.6300128556689513,0.6884182556475029,3.739203036521054e-76,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.CY],-0.7485977285146814,0.022244626614249648,0.47302940352830347,0.4528490665109287,0.4941090379766579,2.8212221295695818e-248,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.CZ],-1.368141270927103,0.021760766405956332,0.25457971477197255,0.24395009840006368,0.2656724944914471,0.0,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.DE],-0.588424574096595,0.01689731482143983,0.5552012745701873,0.5371151891281348,0.573896366224014,1.0705212407331646e-265,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.DK],-1.2269314789442303,0.049064917937592774,0.2931908611058806,0.2663092767636007,0.32278590547303443,5.222657061593469e-138,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.EE],-0.8741358460300735,0.02063806778958168,0.41722240834094476,0.4006825882530778,0.4344449774589898,0.0,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.ES],-1.0292607530251334,0.02589350951370549,0.3572709744584656,0.3395917564593438,0.3758705762511141,0.0,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.FI],-1.0701165080645259,0.04222060465239715,0.3429685564881569,0.3157301542088652,0.37255684695151386,9.98849055794247e-142,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.FR],-1.2434623688287751,0.025018709227782966,0.2883839956118445,0.2745839769515504,0.30287757446140656,0.0,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.GR],-1.6030125207800803,0.028380111973390597,0.20128921575336797,0.19039840797700489,0.21280297881219343,0.0,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.HR],-0.8081852128515028,0.023790388360329835,0.4456661219272071,0.4253625064709956,0.46693887968985703,5.957713102987504e-253,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.HU],-0.17216445570846983,0.021756162031691503,0.8418407162723852,0.8066981262855759,0.8785142403109041,2.5052305512996852e-15,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.IE],-0.6765543403343632,0.026441271167904866,0.50836563298226,0.48269114581218403,0.5354057538441188,2.1256632151655092e-144,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.IT],-0.4756284382047222,0.019266148035165326,0.6214943629128271,0.5984637077669236,0.6454113058478911,1.4655708882864331e-134,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.LT],-0.9318896268334211,0.02332089768858409,0.3938088550641823,0.3762137750879425,0.4122268364328495,0.0,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.LU],-0.9313202507211448,0.04170095951715819,0.3940331442654561,0.36310884924200926,0.42759111793566,1.7545933511870795e-110,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.LV],-1.2157044251836153,0.02129656068490022,0.2965010778864191,0.2843797127460066,0.3091391025713837,0.0,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.MT],-1.3254170874784204,0.03307203230617879,0.26569211911955204,0.24901626093395168,0.28348470857877794,0.0,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.NL],-1.4304190723698622,0.048737269287565624,0.23920865549755957,0.2174160750234737,0.26318560326678786,2.418185077278609e-189,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.PL],-0.5609321014520477,0.024705238043204434,0.5706768871108638,0.5437022708134873,0.5989897908560784,3.999556268432922e-114,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.PT],-0.641730171011158,0.020741743464511218,0.5263809067443541,0.505411039496893,0.5482208288541188,3.5648164543070145e-210,< .001,***
